Age,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971
42,"895,180","857,354","799,132","786,439","804,190","819,495","830,659","864,118","898,446","928,124","904,643","926,217","929,271","946,199","945,108","953,489","943,710","927,078","906,001","882,708","851,174","833,181","822,064","795,472","770,328","750,064","757,880","752,392","740,562","755,192","777,652","805,644","860,239","940,177","737,339","728,568","736,060","704,565","646,859","602,770","641,840","648,299","649,585","642,352","635,544","627,093","612,258","619,951","643,846","659,829","665,299","661,422"
43,"859,217","797,572","784,721","804,831","820,472","831,944","866,398","900,586","930,906","907,162","928,467","926,841","943,444","944,744","951,342","944,230","925,515","907,397","881,173","850,759","834,981","821,861","796,717","770,611","749,944","757,210","751,506","740,401","754,097","776,540","804,387","859,571","938,282","736,332","727,059","734,732","703,144","645,950","601,042","639,590","645,990","647,143","641,027","634,476","625,728","611,057","618,192","641,499","657,159","663,719","658,948","660,252"
44,"798,711","783,368","803,478","820,779","832,534","867,086","902,015","933,131","909,319","930,480","928,632","940,287","942,088","951,137","942,644","925,769","906,425","881,823","849,393","834,609","822,919","796,362","771,256","750,721","756,457","750,904","740,320","753,113","775,862","802,928","858,871","937,556","734,916","726,004","733,026","701,367","644,556","599,760","637,636","643,988","644,617","638,161","632,858","624,584","610,198","616,451","639,226","654,989","660,928","657,462","657,665","674,790"
45,"784,316","802,672","819,336","832,769","867,585","902,447","935,205","911,480","932,680","930,548","941,287","940,256","950,257","942,212","925,231","904,548","881,032","848,660","833,635","821,815","792,843","769,890","750,709","755,906","749,170","739,396","751,255","774,018","801,242","857,219","931,988","733,274","724,197","731,860","699,098","642,669","597,951","635,740","642,472","642,350","635,311","630,219","623,225","608,662","614,723","637,243","652,673","658,235","654,309","655,606","671,629","689,225"
46,"803,127","818,961","831,197","867,304","902,272","936,052","913,174","934,482","932,476","942,374","940,889","948,890","941,596","924,541","904,403","878,452","847,880","832,807","820,190","791,904","766,654","749,480","755,211","748,401","738,565","749,462","772,453","799,623","856,276","927,582","733,267","722,893","730,019","697,501","640,635","595,973","633,525","640,957","640,378","632,909","627,457","620,403","606,737","612,828","635,365","650,279","655,268","651,797","652,263","668,861","686,733","689,944"
47,"818,946","830,850","865,357","901,874","936,773","914,198","936,160","934,280","943,651","941,709","949,361","940,601","923,755","904,375","877,520","845,560","832,006","818,605","790,476","765,805","745,599","753,877","747,452","738,137","747,581","770,446","797,741","854,548","923,300","732,950","722,097","728,591","695,287","639,117","593,719","631,101","639,041","638,716","630,799","625,100","617,638","603,491","610,637","633,254","648,123","652,671","649,012","649,292","665,184","683,758","686,728","701,367"
48,"830,471","864,586","899,621","936,385","914,674","936,976","935,817","944,725","942,558","950,030","940,755","922,489","904,149","876,583","844,817","829,553","817,090","789,056","764,523","744,000","750,270","745,659","737,639","746,036","768,527","795,675","853,012","918,965","732,611","721,142","725,655","693,435","637,109","591,708","628,541","636,729","636,413","628,745","622,590","615,006","600,775","607,590","631,030","645,623","650,071","646,148","646,031","661,967","680,122","683,528","697,512","704,921"
49,"863,770","898,663","934,269","914,326","937,411","936,422","945,288","943,113","950,405","940,707","922,066","903,329","875,452","843,904","828,642","814,114","787,551","763,211","741,913","748,686","742,664","736,224","744,437","767,096","793,618","851,036","914,774","731,577","720,312","723,006","691,725","635,358","589,776","626,081","634,390","633,863","626,183","620,356","612,666","598,450","604,798","627,999","642,990","647,336","643,086","642,557","658,545","676,366","679,771","693,878","701,831","746,886"
50,"897,164","933,514","912,391","936,740","936,679","945,132","943,236","950,610","940,708","921,713","902,764","874,015","841,649","827,194","813,135","785,247","760,978","739,936","745,262","740,388","734,068","741,330","765,605","791,346","848,926","909,821","730,809","718,946","719,868","689,517","632,621","587,554","623,666","631,983","630,938","623,142","617,721","610,126","595,928","602,079","625,007","639,280","644,293","640,165","639,064","654,674","671,922","674,513","689,518","698,568","742,160","780,415"
51,"931,552","911,724","934,223","935,676","944,402","942,454","950,292","940,344","921,292","901,974","873,259","840,231","824,781","811,177","784,484","758,825","737,176","743,467","737,431","730,701","739,439","762,745","789,764","846,771","905,094","729,406","717,581","716,989","687,567","630,163","586,807","621,040","629,697","628,348","620,186","614,635","607,287","593,671","599,034","621,690","636,094","640,870","636,853","635,814","650,459","667,538","669,995","684,210","693,719","737,955","774,901","817,093"
52,"909,401","933,348","933,005","942,334","941,146","949,195","939,584","920,316","901,154","872,307","839,369","823,141","807,823","782,428","758,165","734,286","740,571","735,947","726,518","736,259","760,305","786,537","845,273","900,421","728,019","715,696","713,839","685,139","627,442","585,489","618,837","627,175","625,704","617,410","611,652","604,036","590,846","596,247","618,347","632,709","637,179","633,225","632,119","646,402","662,635","665,140","678,903","688,509","732,535","769,363","811,019","562,717"
53,"930,683","931,908","939,059","938,851","947,567","938,075","919,160","900,059","871,169","838,438","821,809","805,471","779,317","756,455","732,886","737,656","733,472","723,980","732,384","756,632","783,671","841,906","896,143","726,309","713,446","710,409","682,558","624,585","583,734","616,099","624,469","622,853","614,367","608,522","600,555","587,144","592,716","614,955","629,056","632,939","628,621","628,311","641,939","657,800","659,854","673,579","682,599","726,420","763,118","804,771","558,024","542,373"
