Age,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971
26,"423,350","415,586","423,502","423,358","433,367","440,815","433,928","426,044","426,303","416,949","429,892","435,689","419,892","418,898","414,977","418,598","412,481","386,435","358,314","355,179","363,790","371,042","378,190","399,561","419,568","433,846","432,331","445,556","448,888","462,885","464,684","476,401","477,798","467,937","458,666","454,064","436,022","422,670","411,547","397,140","390,742","382,479","391,597","390,542","384,488","392,555","403,957","416,693","445,172","487,892","387,832","382,244"
27,"426,704","426,726","424,658","436,243","442,241","435,736","430,474","430,660","419,254","429,688","434,060","425,126","422,057","417,125","426,395","421,903","394,065","366,242","359,829","368,598","376,592","383,809","404,296","422,494","434,155","432,156","445,866","450,180","462,403","463,608","474,236","475,334","466,930","457,243","452,229","434,876","421,572","411,596","398,433","389,672","378,323","387,765","389,406","383,141","390,978","402,565","416,228","444,794","486,916","386,538","382,611","385,667"
28,"436,397","428,253","438,578","445,803","438,587","433,477","435,862","423,723","431,361","434,234","423,941","428,262","421,782","428,581","430,297","403,366","372,959","367,764","372,667","381,226","389,097","408,912","426,637","436,513","432,021","445,436","451,212","463,689","462,953","472,011","472,213","465,058","456,440","450,829","432,739","420,291","410,604","398,219","390,584","377,436","383,902","386,221","380,883","390,063","401,319","414,375","443,950","486,422","385,264","381,796","384,934","368,551"
29,"436,489","442,194","447,936","442,693","436,882","439,178","429,009","434,785","435,793","424,219","427,458","428,925","432,713","433,025","411,455","380,785","373,911","379,587","384,936","393,504","413,541","430,324","440,461","434,274","445,603","451,270","464,142","463,966","471,193","470,059","462,933","454,073","450,553","431,849","418,025","409,379","397,215","390,124","378,256","382,740","382,264","377,941","388,561","400,129","412,809","442,310","485,605","384,270","380,150","384,746","367,874","337,440"
30,"449,383","450,308","445,283","441,917","442,911","431,985","438,334","438,605","425,598","427,862","428,492","434,468","434,049","416,963","386,358","376,414","382,088","388,185","394,514","414,417","430,693","443,470","437,589","447,247","450,912","464,199","464,778","471,350","468,430","460,892","451,927","449,767","430,791","417,748","408,088","396,511","389,580","378,319","383,347","380,893","374,239","385,920","397,916","412,279","440,738","483,914","383,139","378,693","383,275","367,242","336,810","317,525"
31,"456,682","448,480","443,956","447,914","435,343","440,018","441,869","428,169","429,276","429,130","434,293","436,318","418,089","390,379","381,181","384,103","390,064","397,487","415,572","431,588","443,895","440,882","450,337","452,642","464,235","464,665","471,216","468,178","459,782","450,223","447,092","429,763","416,052","407,568","395,103","388,846","377,550","383,215","380,866","372,952","382,700","395,409","410,867","440,221","482,380","381,878","377,547","381,912","366,127","336,292","316,771","336,791"
32,"453,690","446,106","449,382","438,333","440,918","442,145","430,054","430,811","429,730","434,306","435,852","420,578","390,861","385,159","388,297","391,783","399,535","418,450","432,808","444,964","441,418","452,373","454,765","465,348","464,430","470,759","468,093","459,478","448,943","444,671","427,861","415,327","406,809","394,805","387,625","376,891","382,554","380,761","372,715","381,367","392,704","409,390","438,832","481,843","380,513","376,526","380,891","364,630","335,164","315,560","335,634","339,539"
33,"450,709","450,888","438,958","442,092","442,644","429,985","432,459","431,217","435,022","436,399","420,454","392,479","385,720","391,629","395,510","401,117","420,168","435,264","445,927","441,676","452,356","457,001","467,598","465,359","470,351","467,413","459,603","449,022","443,263","426,601","415,059","406,351","394,133","387,751","375,901","382,114","380,230","372,771","381,344","392,038","406,725","435,929","480,382","380,208","375,038","379,734","363,246","333,921","314,109","334,948","337,768","339,006"
34,"455,033","440,449","441,381","443,425","430,403","432,552","433,210","436,917","437,834","421,334","392,731","387,494","391,999","398,580","404,702","421,812","436,921","448,442","441,939","452,554","456,535","469,242","467,262","470,301","466,020","458,574","448,721","442,191","425,428","414,236","406,403","393,984","386,916","375,570","380,967","379,544","371,948","381,443","391,471","405,216","433,040","477,540","379,228","374,265","378,574","362,070","332,315","312,487","333,790","337,099","337,716","334,287"
35,"444,369","440,678","441,873","430,555","432,653","433,161","438,628","439,774","422,676","393,614","387,988","393,012","399,222","404,896","423,207","440,596","450,658","445,534","453,129","458,233","469,539","467,910","470,495","465,775","457,506","447,421","440,699","424,544","413,798","406,198","393,775","386,069","374,621","380,502","378,294","371,138","380,834","391,231","405,334","431,872","474,219","375,754","373,026","377,896","360,932","331,070","310,617","332,076","335,819","336,624","333,263","328,103"
36,"444,150","440,163","428,687","432,321","432,997","438,457","441,546","424,501","394,821","388,912","394,098","400,161","405,721","423,555","441,911","453,906","446,724","456,143","458,155","470,872","468,318","470,602","465,539","457,456","446,403","439,319","423,845","413,719","406,188","393,584","385,374","374,026","379,546","377,640","369,926","380,057","390,421","405,029","432,066","473,265","373,964","370,826","376,827","360,502","330,105","309,098","330,433","334,063","335,319","331,855","327,262","324,518"
37,"442,891","426,763","430,319","432,300","437,798","441,105","425,686","395,900","389,737","395,073","401,253","406,697","424,268","442,157","455,358","449,146","457,176","460,620","470,602","469,424","470,765","465,592","457,582","446,446","438,087","422,888","413,508","406,284","393,513","384,515","373,436","379,092","377,279","368,818","379,065","389,820","404,241","431,696","473,160","372,113","368,420","374,570","360,244","330,000","307,708","329,066","331,922","333,776","330,041","326,175","323,545","313,962"
38,"429,340","427,706","430,089","437,068","440,559","425,326","396,834","390,749","396,216","402,438","407,521","425,323","442,885","455,774","449,714","459,131","461,023","472,441","469,216","471,971","465,890","457,675","446,374","437,787","422,098","413,061","406,514","393,820","383,932","372,877","378,216","376,454","368,724","378,400","389,047","403,763","430,987","472,827","371,814","367,063","372,220","358,328","329,386","307,452","327,625","330,528","331,812","328,561","324,449","321,967","312,974","317,341"
39,"429,941","427,775","435,080","439,980","424,696","396,278","391,439","397,441","403,689","408,518","425,902","443,860","456,510","449,263","459,613","462,300","472,518","470,853","471,615","467,377","458,470","446,624","437,535","422,473","412,998","406,590","393,979","383,953","372,815","377,778","376,128","368,308","378,835","388,145","403,114","430,795","472,293","371,586","367,565","370,674","356,028","327,824","306,789","327,573","328,787","330,608","326,917","323,587","320,272","312,631","315,901","328,032"
40,"429,308","432,676","437,821","423,830","395,231","390,676","398,074","404,828","409,373","426,690","444,016","455,459","447,370","460,484","461,903","471,928","469,299","472,793","465,939","458,258","449,172","435,946","421,621","413,122","406,596","394,035","383,626","373,039","377,289","375,079","367,994","378,560","388,807","402,348","430,143","472,112","371,191","367,442","371,544","355,995","326,998","304,808","326,072","328,707","329,270","326,137","322,318","318,938","311,196","315,292","327,438","332,121"
41,"433,631","435,660","421,950","394,472","389,748","397,722","405,541","410,276","427,368","444,392","456,189","445,586","458,582","462,021","471,066","468,500","471,289","467,000","456,879","449,128","437,923","421,350","413,353","407,261","393,931","383,193","373,043","377,044","374,715","367,708","377,789","388,135","402,698","429,910","471,134","370,378","366,531","371,109","355,350","326,293","304,056","324,277","327,674","328,744","325,117","321,837","317,896","310,420","313,854","326,056","331,675","331,708"
42,"436,555","419,916","392,734","388,797","397,376","405,560","411,081","428,204","444,952","457,066","446,372","456,783","459,669","470,860","467,605","470,615","465,964","457,939","448,370","437,707","423,133","413,177","407,677","394,405","382,779","372,874","376,938","374,366","367,509","376,701","387,093","401,857","428,881","470,784","369,305","365,621","370,301","354,631","325,428","302,847","323,073","325,469","328,174","324,170","320,789","316,986","309,294","312,240","324,378","330,876","331,296","329,409"
43,"420,463","390,938","387,135","397,248","405,484","411,346","429,033","445,837","458,242","447,468","457,776","457,484","468,450","467,213","469,638","465,470","457,024","449,555","436,435","422,893","414,735","407,918","395,186","382,864","372,683","376,430","373,848","367,533","375,807","386,367","400,926","428,232","469,282","368,643","364,411","369,390","353,640","324,794","301,822","321,728","324,241","326,032","323,318","320,048","316,145","308,783","311,061","323,376","329,268","330,210","328,076","328,834"
44,"391,128","385,412","395,935","405,139","411,183","428,995","446,229","459,250","448,391","458,638","458,119","466,094","464,777","469,274","464,894","456,795","449,087","437,267","421,744","414,477","409,009","395,265","382,818","372,835","375,776","373,463","367,500","375,337","385,759","400,048","427,482","468,755","367,647","363,328","368,130","352,388","323,910","300,894","320,585","322,962","324,519","321,055","318,756","315,160","308,250","310,131","321,785","328,063","328,442","327,477","327,408","336,876"
45,"385,508","394,944","404,010","411,003","428,696","445,954","460,024","449,338","459,580","458,847","466,278","463,686","469,065","464,710","456,389","447,242","437,306","421,432","414,397","408,516","392,832","382,256","372,277","375,307","372,499","366,915","374,100","384,786","398,978","426,536","465,708","366,479","362,124","367,433","350,994","322,725","299,786","319,315","322,000","323,031","319,320","316,566","314,185","307,088","308,977","320,490","326,572","327,087","325,528","326,406","334,736","343,321"
46,"394,934","403,286","409,821","428,178","445,323","460,136","449,839","460,327","459,574","466,473","463,698","468,213","464,720","456,286","447,104","435,131","421,349","413,905","408,000","392,420","379,877","371,795","374,451","371,858","366,387","372,794","383,709","398,169","425,863","463,000","366,379","360,957","365,908","349,703","321,317","298,464","317,801","320,906","321,702","317,838","314,816","311,869","305,470","307,817","319,077","325,066","325,374","324,521","324,344","332,983","341,935","342,723"
47,"402,956","409,083","426,830","444,848","460,111","450,008","460,982","460,363","466,910","463,934","468,241","464,223","456,459","447,425","434,677","419,427","413,787","407,107","391,901","379,470","369,054","373,948","370,898","366,124","371,672","382,554","397,023","425,068","460,897","365,872","360,300","364,634","348,030","320,216","296,953","316,197","319,554","320,453","316,457","313,265","310,094","302,841","306,142","317,710","323,608","323,754","322,863","322,894","330,769","340,128","340,713","346,576"
48,"408,686","425,895","443,362","459,646","449,907","461,162","460,924","467,292","464,166","468,421","464,042","456,079","447,929","434,508","418,988","411,772","406,538","391,040","379,102","368,247","371,561","370,061","365,514","370,629","381,325","395,747","424,111","458,626","365,324","359,507","362,858","346,692","318,880","295,705","314,573","318,095","318,959","315,137","311,639","308,444","301,133","303,735","315,842","322,165","321,875","321,049","320,921","329,092","338,067","338,799","344,219","346,638"
49,"425,223","442,246","458,241","449,531","461,119","460,895","467,159","464,299","468,381","463,776","455,625","447,778","434,454","418,805","411,181","404,251","390,441","378,363","367,340","370,734","367,997","364,879","369,338","380,427","394,528","422,831","456,130","364,581","358,749","361,240","345,535","317,691","294,549","312,910","316,579","317,306","313,599","310,196","307,046","299,738","302,102","313,932","320,307","320,206","318,865","318,669","327,181","336,102","336,841","342,483","345,081","367,716"
50,"441,156","457,398","448,214","460,679","460,679","466,790","464,096","468,291","463,528","455,217","447,173","433,173","417,591","410,675","404,011","389,369","377,139","366,692","368,844","367,086","363,672","367,205","379,263","393,111","421,561","453,136","363,945","358,013","359,269","344,115","315,825","293,191","311,567","315,199","315,576","311,872","308,684","305,500","298,232","300,563","312,303","318,090","318,117","316,974","316,334","324,762","333,494","333,859","339,980","343,623","365,085","381,534"
51,"456,148","447,422","459,146","460,035","466,140","463,517","467,949","463,253","454,869","446,536","432,709","416,388","409,266","403,139","389,317","376,164","365,065","368,283","365,445","362,143","366,075","377,400","391,939","420,342","450,251","362,955","357,148","357,646","342,713","314,135","292,447","309,981","313,788","313,923","310,056","306,844","303,796","296,850","298,654","310,401","316,160","316,014","314,911","314,328","322,232","330,771","331,112","336,944","340,854","362,776","378,102","398,996"
52,"445,934","458,381","458,416","464,840","462,547","467,237","462,675","454,165","445,848","432,093","415,843","407,779","401,138","388,351","376,094","363,677","366,629","365,033","359,854","364,658","375,920","390,057","419,355","447,711","361,928","355,915","355,811","341,355","312,408","291,306","308,408","312,193","312,352","308,395","305,060","301,982","295,108","297,017","308,419","314,134","313,846","312,779","312,271","319,791","327,853","328,044","333,719","337,853","359,569","374,793","395,405","273,162"
53,"456,662","457,412","462,772","461,153","466,091","461,629","453,253","444,995","431,375","415,253","406,849","399,278","386,527","375,359","363,242","365,252","363,623","358,854","362,582","374,080","388,324","417,310","444,902","360,819","354,498","353,691","339,724","310,622","290,088","306,646","310,447","310,516","306,619","303,150","299,909","292,870","294,882","306,406","311,728","311,132","309,822","310,210","317,198","324,863","325,009","330,299","334,184","356,015","370,998","391,407","270,337","262,101"
54,"455,524","461,371","458,885","464,414","460,396","452,029","443,840","430,625","414,635","405,965","398,077","384,708","373,619","361,930","364,747","362,408","356,747","361,672","371,493","386,341","414,851","441,308","360,058","353,438","351,273","337,880","308,603","288,973","305,001","308,697","308,946","304,647","301,309","297,872","290,839","292,372","303,980","309,394","308,650","306,969","307,152","314,773","321,575","321,777","326,914","330,701","351,927","367,575","387,235","267,487","258,542","291,411"
55,"459,355","457,353","461,828","458,306","450,508","442,379","429,432","413,766","405,027","396,919","383,275","372,187","360,173","363,166","360,352","354,194","359,701","369,867","383,901","411,308","439,459","358,612","351,974","349,162","335,916","306,487","287,486","303,026","306,793","307,094","302,764","298,874","295,660","288,676","289,880","300,978","306,689","305,889","304,291","304,094","311,365","318,529","318,588","323,337","326,980","347,713","363,553","382,709","264,004","255,630","287,580","309,511"
56,"455,257","460,096","455,586","448,292","440,547","427,920","412,473","403,809","395,732","381,803","370,550","358,149","361,201","358,803","351,509","357,127","367,313","381,800","408,090","436,998","355,487","349,921","346,529","333,842","304,138","285,558","300,919","304,603","304,848","300,466","296,489","293,042","286,202","287,230","298,067","303,459","302,720","301,163","300,793","307,927","314,817","315,123","319,021","322,830","343,242","358,564","378,254","260,755","251,973","283,921","305,472","330,013"
57,"457,660","453,376","445,264","438,191","425,944","410,986","402,257","394,231","380,237","368,873","356,462","359,232","357,166","349,460","354,547","364,561","379,159","405,211","434,972","352,039","346,771","343,954","331,432","301,846","283,549","298,567","302,186","302,363","298,059","293,949","290,416","283,415","284,321","295,018","300,159","299,084","297,508","297,356","304,185","311,122","310,736","315,300","318,175","338,571","353,370","372,856","256,937","248,382","279,548","301,547","325,036","331,185"
58,"450,790","443,132","434,992","423,516","409,034","400,360","392,354","378,396","367,095","354,565","357,180","355,330","347,104","352,403","361,603","376,069","401,892","433,251","348,895","343,276","341,516","329,020","299,074","281,775","296,055","299,631","300,025","295,583","291,240","287,602","280,575","281,244","291,767","296,932","295,412","293,209","293,576","300,227","307,219","306,339","310,571","313,554","333,563","348,015","366,512","252,825","244,055","274,872","296,596","319,932","326,383","327,335"
59,"440,443","432,367","420,370","406,562","398,136","390,296","376,259","365,128","352,571","354,946","353,049","344,537","350,113","359,123","372,729","398,006","431,071","345,953","340,055","338,837","325,809","296,317","279,767","293,507","296,884","297,466","293,031","288,443","284,527","277,497","278,462","288,276","293,392","291,787","289,154","288,963","295,836","303,222","301,994","305,695","308,462","327,928","342,385","360,607","248,253","239,805","269,972","291,465","314,146","321,206","321,366","318,000"
60,"429,528","417,691","403,425","395,452","387,727","373,711","362,778","350,195","352,575","350,560","342,036","347,508","356,829","369,849","394,463","426,430","341,916","336,351","335,937","322,472","293,373","277,016","290,625","293,949","294,391","290,008","285,249","281,257","274,204","274,987","284,362","289,653","287,793","285,084","284,687","290,851","298,582","297,147","300,875","303,176","322,023","336,581","354,488","244,283","235,327","265,182","286,073","308,534","315,196","315,756","312,324","312,484"
61,"414,478","400,640","392,086","384,902","370,817","360,193","347,607","349,964","347,984","339,363","344,813","353,665","367,118","390,865","424,002","336,514","332,246","332,869","318,902","290,100","273,592","287,481","290,827","291,531","286,998","281,931","277,967","270,786","271,811","280,195","285,267","283,429","280,734","280,341","286,121","293,259","291,934","295,620","297,969","316,289","329,982","347,647","239,363","230,669","259,329","280,577","301,862","308,496","309,056","305,788","305,604","310,976"
62,"397,424","389,076","381,285","367,644","357,114","344,655","347,058","345,089","336,520","341,804","350,511","363,730","387,286","421,411","332,833","326,880","329,548","315,133","286,544","269,765","283,867","287,095","288,115","283,501","278,218","274,192","266,845","267,821","275,778","280,465","278,619","276,067","275,590","281,229","288,121","286,092","289,728","292,294","310,101","323,120","340,183","232,756","225,331","253,558","274,167","295,217","301,241","302,003","298,502","298,365","303,346","305,890"
63,"385,588","377,784","363,871","353,762","341,424","343,804","341,798","333,354","338,726","347,037","360,105","382,951","418,803","329,205","323,184","324,799","310,927","282,785","265,589","279,809","283,285","284,293","279,861","274,419","270,180","262,803","263,627","271,220","275,494","273,403","271,076","270,465","275,915","283,006","280,295","283,095","286,037","303,540","315,658","332,227","227,347","218,956","247,307","267,545","287,753","293,783","294,121","291,256","290,470","295,551","297,610","295,648"
64,"374,114","360,193","349,778","337,843","340,241","338,352","329,817","335,232","343,444","356,271","378,936","415,577","325,608","319,185","321,652","305,698","278,729","261,191","275,436","279,056","280,187","275,940","270,327","266,037","258,532","259,146","266,276","270,334","268,123","265,635","264,776","270,307","277,333","274,462","276,654","278,608","296,348","307,745","323,863","221,693","213,524","240,490","260,516","280,043","285,530","286,293","282,690","282,416","287,030","289,040","287,058","281,892"
65,"356,235","346,008","333,653","336,371","334,335","325,974","331,371","339,344","352,154","374,441","410,796","321,178","315,706","318,441","302,036","274,425","256,040","270,776","273,855","274,878","271,032","266,519","261,716","254,227","254,827","260,902","264,762","262,543","259,872","258,748","264,138","271,129","267,845","270,023","271,551","287,775","299,254","314,801","215,907","207,548","233,745","253,602","271,660","276,778","277,129","273,479","272,970","277,435","279,142","277,194","271,898","268,656"
66,"341,734","329,589","331,780","330,124","321,821","327,159","335,058","347,622","369,891","405,650","316,899","311,199","315,352","297,867","270,741","251,313","265,642","269,049","269,512","265,392","261,298","257,335","249,300","249,909","255,562","258,900","256,654","253,857","252,375","257,533","263,839","260,917","262,805","264,566","279,800","292,582","305,283","209,684","201,621","226,832","245,841","263,449","268,152","268,085","264,466","263,688","267,741","268,980","267,358","262,353","258,688","256,771"
67,"325,207","327,147","325,194","317,345","322,675","330,311","342,846","364,711","400,331","312,267","306,682","311,420","293,907","266,697","246,920","260,829","263,890","264,398","259,857","255,684","251,999","244,557","244,844","249,599","252,835","250,425","247,424","245,728","250,446","255,970","253,257","255,237","256,884","271,436","283,456","298,155","202,967","195,314","219,650","237,822","254,391","258,703","258,858","254,951","254,089","257,842","258,499","257,350","252,199","248,514","246,073","242,126"
68,"322,367","320,247","312,241","317,956","325,211","337,695","359,153","394,414","307,604","301,869","306,622","289,369","262,809","242,181","256,227","258,795","258,916","254,287","249,835","246,320","239,004","239,526","243,498","246,463","244,050","240,734","238,840","243,213","248,084","245,383","247,184","248,910","262,671","274,255","287,860","195,124","188,478","212,124","229,363","245,027","248,667","249,266","245,353","244,182","247,599","247,910","246,484","241,772","237,805","235,430","231,464","229,142"
69,"315,099","306,741","312,293","319,663","331,921","353,162","387,939","302,326","296,805","301,407","284,218","258,169","237,541","251,195","253,891","253,399","248,307","244,060","240,136","232,728","233,441","237,683","239,762","237,251","233,936","231,655","235,674","240,033","237,240","238,729","240,181","253,524","264,361","277,386","187,779","179,990","203,916","220,460","235,349","238,653","238,766","235,528","234,454","237,026","237,072","235,594","230,596","226,607","224,213","220,585","218,015","212,113"
70,"301,313","306,567","313,345","325,936","346,605","381,096","296,617","291,335","295,932","278,898","253,268","232,241","246,224","248,534","248,094","242,681","238,139","234,307","226,475","226,908","231,175","233,101","230,058","226,731","224,176","227,786","231,375","228,954","229,858","231,076","243,928","253,902","266,224","180,351","172,780","194,261","211,334","225,227","228,451","228,035","224,859","223,536","226,488","226,157","224,229","219,265","215,348","213,078","209,266","206,714","200,592","195,543"
71,"300,612","306,852","319,099","339,926","373,517","290,637","285,327","289,868","273,258","247,991","227,038","240,410","243,234","242,516","236,873","232,084","228,111","220,116","220,123","224,261","225,750","223,043","219,306","216,279","219,904","222,699","220,052","220,995","221,919","233,986","243,352","254,761","172,444","165,460","185,841","200,821","214,645","217,688","217,322","213,949","212,375","215,883","215,078","212,704","207,588","203,950","201,266","197,793","195,058","189,155","184,127","178,712"
72,"300,087","311,905","332,142","365,613","283,987","278,929","283,463","266,933","242,322","221,538","234,546","237,351","236,773","230,670","225,980","221,912","213,402","213,255","216,879","217,893","215,379","211,854","208,150","211,411","213,740","211,083","211,531","212,465","223,469","232,600","242,877","164,256","157,720","177,531","191,115","203,607","206,374","206,099","202,928","200,990","203,720","203,315","201,073","195,893","192,152","189,465","185,868","183,148","177,396","172,716","167,102","152,493"
73,"304,593","324,003","356,349","277,260","272,065","276,492","260,197","236,349","215,967","228,194","231,037","230,545","224,392","219,484","215,608","207,006","206,168","209,586","210,007","207,222","203,683","200,099","202,571","204,506","202,005","201,886","202,547","212,960","221,603","230,850","156,901","149,907","168,509","181,509","192,495","195,211","194,393","191,474","189,422","191,376","190,605","189,376","183,997","180,242","177,245","173,965","171,235","165,858","160,372","155,620","141,731","137,535"
74,"315,633","346,715","269,206","264,949","268,846","252,999","229,921","209,629","221,925","224,291","223,871","217,713","212,796","208,906","200,431","199,181","202,019","202,148","198,817","195,074","191,545","193,992","194,875","192,472","192,263","192,592","202,074","210,281","218,087","149,198","141,873","159,390","171,292","181,547","183,965","182,884","179,712","177,488","179,245","178,164","176,619","171,436","168,430","164,721","161,852","158,990","153,667","148,533","143,810","131,134","127,283","125,989"
75,"336,711","260,973","256,330","261,009","245,047","222,784","202,948","214,721","217,491","216,692","210,697","205,743","202,127","193,519","191,869","194,541","194,047","190,724","186,479","182,685","184,834","185,593","182,573","182,086","182,383","191,042","198,739","205,590","140,984","133,514","149,779","161,136","170,216","172,777","171,200","167,723","165,245","167,000","165,840","163,898","158,965","155,060","152,803","149,645","146,730","141,891","136,894","132,230","120,557","117,018","115,758","113,815"
76,"252,412","247,407","251,686","237,086","215,047","195,986","207,409","209,761","209,560","202,975","198,388","194,943","186,377","184,241","186,736","185,920","182,299","177,755","173,780","175,384","175,917","173,220","171,962","171,989","180,253","186,986","192,718","133,132","124,836","140,269","150,765","159,205","160,984","159,713","156,003","153,306","154,185","153,299","151,452","146,737","142,747","141,553","138,072","134,489","130,002","125,258","121,011","109,917","106,830","105,687","103,834","104,190"
77,"238,197","241,987","227,704","207,465","188,446","199,622","201,716","201,362","195,469","190,616","187,145","178,995","176,340","178,596","177,549","173,615","169,064","164,821","165,811","165,885","163,103","162,216","161,395","168,993","175,417","179,697","125,027","116,312","130,349","139,559","147,748","149,506","147,873","144,609","141,571","142,346","140,489","139,039","134,615","130,705","129,512","125,895","122,920","118,144","113,727","109,928","99,795","97,164","95,932","93,923","94,826","92,433"
78,"232,110","217,841","198,300","180,890","191,126","193,265","192,728","186,979","182,716","178,887","171,104","168,328","170,560","168,977","164,880","160,188","155,679","156,137","155,985","152,994","152,035","151,353","157,347","163,620","167,079","117,089","107,667","120,718","129,111","136,213","137,711","136,311","132,893","130,018","130,544","128,868","126,504","122,692","118,871","117,411","114,072","111,680","107,176","102,662","98,966","90,112","87,244","86,302","84,396","85,355","83,120","84,156"
79,"207,838","188,825","171,517","182,605","184,278","183,695","178,335","173,752","170,717","162,695","160,316","162,073","160,306","155,799","151,161","146,707","146,778","145,855","142,860","141,654","140,932","146,568","151,913","154,000","109,518","99,198","110,898","118,656","124,971","126,311","124,892","121,363","118,415","119,123","117,357","115,314","110,505","107,394","105,996","102,691","100,415","96,699","91,960","88,378","80,599","78,159","77,037","75,244","76,375","74,008","75,032","73,596"
80,"179,076","162,183","172,210","175,124","173,931","168,976","164,622","161,381","154,211","151,537","153,259","151,412","146,885","141,915","137,461","137,165","136,079","132,891","131,247","130,324","135,235","140,566","141,029","101,766","91,117","101,375","107,883","113,944","114,400","113,702","110,051","107,049","107,308","105,997","103,643","100,135","96,518","95,263","92,345","89,865","85,909","82,731","78,528","71,262","69,177","68,328","66,250","67,645","65,698","66,122","65,062","65,729"
81,"152,707","161,771","164,154","164,400","158,876","154,983","151,847","144,838","142,892","143,890","141,952","137,671","132,643","127,893","127,567","126,280","122,953","121,076","119,643","124,012","128,529","128,965","94,125","82,989","92,063","97,416","102,821","103,427","101,957","99,294","96,337","96,187","94,508","92,697","89,207","85,839","84,488","81,881","79,720","75,865","73,069","70,080","62,611","60,715","59,773","58,312","59,184","57,579","57,876","56,834","57,808","56,767"
82,"151,191","153,142","152,856","149,190","144,606","141,894","135,389","133,210","134,586","131,768","128,009","123,344","118,635","117,745","116,289","113,085","111,028","109,428","112,924","116,581","116,623","87,017","74,942","82,904","87,787","92,281","92,374","91,261","88,366","85,912","85,661","83,950","81,902","79,209","75,847","74,654","71,823","70,044","66,567","63,885","60,988","54,980","52,913","51,932","50,865","51,628","49,724","50,089","49,244","50,160","49,312","49,718"
83,"142,142","141,429","137,644","134,525","131,393","125,399","123,376","124,120","121,889","117,945","113,720","109,283","108,390","106,590","103,230","101,186","99,407","102,225","104,869","104,468","78,900","67,272","73,834","77,953","82,253","81,885","80,669","78,198","75,820","75,775","73,923","71,966","68,861","66,453","65,281","62,687","60,768","57,720","55,430","52,530","47,396","45,209","44,578","43,529","44,408","42,626","42,742","41,814","43,048","41,992","42,692","41,535"
84,"129,966","126,155","122,654","121,218","114,775","113,294","113,915","111,224","108,305","103,522","99,533","98,834","97,094","93,338","91,646","89,784","92,047","93,488","92,518","70,965","59,886","65,572","68,463","72,277","72,149","70,863","68,352","66,325","65,840","64,597","62,638","59,620","57,293","56,534","54,122","52,496","49,379","47,516","44,923","40,369","38,680","37,893","36,992","37,732","36,114","36,070","34,847","36,299","35,348","36,137","35,154","34,221"
85,"114,898","111,141","109,177","104,668","102,813","103,171","100,748","97,555","93,961","89,548","89,228","87,567","83,994","82,011","80,143","82,152","82,734","81,238","63,354","52,416","57,448","59,699","62,893","62,528","61,691","59,261","57,172","56,858","55,247","54,097","51,142","48,776","47,868","46,337","44,702","42,106","40,058","38,017","34,139","32,760","32,083","31,149","31,879","30,150","30,109","28,893","30,348","29,460","30,157","29,125","28,322","28,629"
86,"100,046","97,702","93,097","92,848","92,300","90,140","87,211","83,604","80,563","79,359","78,002","74,967","72,954","70,795","72,461","72,257","70,775","55,992","45,251","49,918","51,548","54,489","53,620","52,915","50,959","48,768","48,486","47,220","45,658","43,719","41,491","40,535","38,754","37,620","35,227","33,613","31,545","28,375","27,418","26,779","25,945","25,647","24,778","24,905","23,712","25,068","24,066","24,840","23,812","22,984","23,423","23,504"
87,"86,728","82,357","81,392","82,179","79,128","76,861","73,885","70,529","70,374","68,402","66,060","64,219","62,180","63,096","62,626","60,689","49,176","38,769","42,570","43,807","46,563","45,785","44,808","43,123","41,360","40,812","39,554","38,601","36,341","34,915","33,984","32,056","30,885","29,322","27,655","26,043","23,241","22,653","22,112","21,363","20,992","20,079","20,324","19,002","20,569","19,671","20,114","19,179","18,655","18,777","18,952","18,373"
88,"71,758","70,699","70,611","69,172","66,426","64,163","61,355","60,683","59,678","57,100","55,712","53,899","54,632","53,147","51,005","42,938","32,832","35,842","36,692","39,328","38,581","37,584","35,898","34,287","34,041","32,803","31,799","30,119","28,504","28,103","26,351","25,220","23,842","22,543","21,156","18,957","18,406","18,017","17,432","16,978","16,225","16,275","15,095","16,555","15,730","16,183","15,217","14,797","14,845","15,063","14,524","14,660"
89,"60,661","60,534","58,078","56,951","54,325","52,442","51,927","50,607","49,097","47,258","45,916","46,501","44,609","42,192","37,193","27,439","29,933","30,267","32,641","31,865","30,934","29,739","28,108","27,780","26,975","25,910","24,396","23,436","22,670","21,594","20,393","19,209","17,769","16,878","15,193","14,825","14,400","14,013","13,614","12,922","12,925","12,511","13,443","12,364","12,804","11,938","11,413","11,463","11,771","11,266","11,594","11,458"
90+,"200,189","193,257","187,860","186,474","178,264","174,614","169,086","161,769","156,721","147,557","140,940","130,127","120,408","110,093","102,691","104,521","103,291","101,590","97,567","93,295","89,328","85,079","80,597","76,835","73,026","68,004","64,525","61,377","57,295","54,589","50,027","46,262","44,315","43,175","41,733","40,348","38,515","37,394","36,261","35,607","35,137","35,267","35,291","34,141","32,514","31,780","31,427","31,372","30,865","30,604","30,334","29,214"
